brand,model,year,transmission,mileage,fuelType,engineSize,price
8,55,2020,0,636,2,1.8,22995
8,55,2019,0,3000,2,2.0,26995
8,55,2019,0,9333,2,1.8,21995
8,55,2019,1,999,4,1.2,17495
8,55,2019,0,12000,2,2.0,22050
8,55,2020,0,1544,2,2.0,28795
8,55,2020,1,7345,4,1.2,20692
8,55,2019,0,20657,2,1.8,21495
8,55,2019,0,8309,2,1.8,22514
8,55,2020,0,943,2,2.0,29450
8,55,2020,0,3168,2,2.0,26950
8,55,2020,0,2136,2,1.8,24995
8,55,2019,0,6158,2,2.0,23000
8,55,2019,0,7963,2,1.8,20689
8,55,2019,1,384,4,1.2,19219
8,55,2019,0,5000,2,1.8,21991
8,55,2019,0,3459,2,2.0,22980
8,55,2019,1,7317,4,1.2,15291
8,55,2019,0,9980,2,2.0,22780
8,55,2020,1,4568,4,1.2,19495
8,55,2019,0,7000,2,1.8,18991
8,55,2019,0,13998,2,1.8,19291
8,55,2019,0,9264,2,1.8,23505
8,55,2019,1,17197,4,1.2,17865
8,55,2019,0,4942,2,1.8,20499
8,55,2020,0,3390,2,2.0,27893
8,55,2019,0,9264,2,1.8,22226
8,55,2019,1,6329,4,1.2,16821
8,55,2020,0,5000,2,2.0,25998
8,55,2003,1,89000,4,1.6,1495
8,55,2019,0,6834,2,2.0,20995
8,55,2019,1,151,4,1.2,17989
8,55,2019,0,6500,2,2.0,26999
8,55,2004,1,111000,4,1.8,1250
8,55,2019,1,5517,4,1.2,16495
8,55,2019,1,3792,4,1.2,17995
8,55,2019,1,5139,4,1.2,16495
8,55,2019,0,42,2,1.8,23995
8,55,2020,0,100,2,2.0,25995
8,55,2019,0,10932,2,1.8,22250
8,55,2019,0,14198,2,1.8,19995
8,55,2019,0,9111,2,1.8,22485
8,55,2019,0,5372,2,1.8,20985
8,55,2019,0,17095,2,2.0,21999
8,55,2019,1,20,4,1.2,17999
8,55,2019,1,20,4,1.2,17499
8,55,2019,1,18020,4,1.2,16299
8,55,2019,0,9244,2,1.8,21450
8,55,2019,0,10436,2,1.8,20499
8,55,2019,1,15,4,1.2,16491
8,55,2019,0,7899,2,1.8,21450
8,55,2019,0,8908,2,1.8,21450
8,55,2003,0,102000,4,1.8,2195
8,55,2019,0,4800,2,1.8,21995
8,55,2019,0,3698,2,2.0,22691
8,55,2019,1,10,4,1.2,15991
8,55,2019,1,10,4,1.2,15991
8,55,2019,0,8239,2,1.8,23490
8,55,2019,0,9317,2,1.8,25495
8,55,2001,0,76000,4,1.6,899
8,55,2019,1,15,4,1.2,17790
8,55,2019,1,10,4,1.2,17990
8,55,2019,1,10,4,1.2,16990
8,55,2008,1,76300,4,1.8,4295
8,55,2019,0,7841,2,1.8,19795
8,55,2019,0,10513,2,1.8,23395
8,55,2019,1,6597,4,1.2,18700
8,55,2019,0,6289,2,1.8,22700
8,55,2019,1,97,4,1.2,16790
8,55,2019,0,3628,2,2.0,23700
8,55,2020,0,3675,2,2.0,26700
8,55,2019,0,8087,2,2.0,23650
8,55,2019,0,12000,2,1.8,21990
8,55,2020,1,3000,4,1.2,19790
8,55,2019,0,8000,2,1.8,20450
8,55,2019,1,3837,4,1.2,16200
8,55,2019,0,3993,2,1.8,21491
8,55,2020,0,1112,3,2.0,25990
8,55,2019,0,9300,2,1.8,21850
8,55,2020,0,3000,2,1.8,23550
8,55,2019,0,13000,2,1.8,21991
8,55,2019,0,9000,2,1.8,22850
8,55,2019,0,9968,2,1.8,19990
8,55,2019,0,10175,2,1.8,19990
8,55,2019,0,4000,2,2.0,25650
8,55,2019,0,15481,2,1.8,21350
8,55,2019,0,7000,2,1.8,22990
8,55,2019,0,6000,2,1.8,22990
8,55,2019,0,7000,2,1.8,23650
8,55,2019,0,10055,2,1.8,21990
8,55,2020,1,3000,4,1.2,18990
8,55,2019,0,6610,2,1.8,21500
8,55,2019,0,9823,2,1.8,21690
8,55,2019,0,9000,2,2.0,22750
8,55,2019,0,8563,2,1.8,22250
8,55,2019,0,2165,2,2.0,24495
8,55,2019,0,6568,2,2.0,24295
8,55,2019,0,7575,2,1.8,22000
8,55,2019,1,6170,4,1.2,16500
8,55,2019,0,6033,2,1.8,23500
8,55,2007,1,71248,4,1.8,2795
8,55,2005,1,88150,0,1.4,2495
8,55,2005,1,77500,4,1.6,3495
8,55,2004,1,96000,4,1.8,2095
8,55,2019,0,3568,2,2.0,23250
8,55,2019,0,7792,2,1.8,21494
8,55,2019,0,10353,2,1.8,21249
8,55,2019,0,7125,2,1.8,21250
8,55,2019,0,8661,2,1.8,21995
8,55,2019,0,4319,2,1.8,22995
8,129,2019,0,13326,3,2.5,30500
8,129,2017,0,30379,2,2.5,20000
8,129,2017,1,25271,0,2.0,16500
8,129,2016,1,11291,0,2.0,15995
8,129,2015,1,45757,0,2.0,13500
8,129,2017,0,25170,2,2.5,22480
8,129,2015,0,43830,0,2.2,13698
8,129,2016,0,58377,2,2.5,17998
8,129,2016,1,40054,0,2.0,14998
8,129,2013,0,45322,0,2.2,10998
8,129,2016,1,32061,0,2.0,13498
8,129,2017,0,26528,4,2.0,17500
8,129,2017,0,37539,4,2.0,16498
8,129,2014,1,80049,0,2.0,9698
8,129,2016,1,35286,0,2.0,14817
8,129,2019,0,9650,2,2.5,29399
8,129,2019,0,7017,2,2.5,32995
8,129,2016,0,40827,2,2.5,19995
8,129,2016,0,18000,2,2.5,20495
8,129,2016,0,29489,2,2.5,21495
8,129,2019,0,20124,2,2.5,29995
8,129,2016,0,41060,2,2.5,20495
8,129,2017,0,25000,2,2.5,20795
8,129,2015,1,49150,0,2.0,11995
8,129,2016,1,71046,0,2.0,13995
8,129,2014,1,69401,0,2.0,12995
8,129,2016,1,49097,0,2.0,14495
8,129,2016,1,39591,0,2.0,14695
8,129,2019,0,9727,2,2.5,29498
8,129,2019,0,9258,2,2.5,31498
8,129,2014,0,47545,0,2.2,11498
8,129,2014,1,50709,0,2.0,10998
8,129,2017,0,10957,4,2.0,20498
8,129,2013,1,54057,0,2.2,10498
8,129,2015,1,60998,0,2.0,9998
8,129,2015,1,41486,0,2.0,12998
